member_casual,day_of_week,average_ride_duration
casual,Sunday,39.71592016992197
casual,Monday,34.09332005600335
casual,Tuesday,29.831910180199035
casual,Wednesday,29.70059327676911
casual,Thursday,29.69075131968458
casual,Friday,32.475983027237255
casual,Saturday,36.69385276539844
member,Sunday,15.927126865406246
member,Monday,13.36560324799259
member,Tuesday,12.954474689626469
member,Wednesday,12.94402243548293
member,Thursday,12.91002354532515
member,Friday,13.493855246422745
member,Saturday,15.48634641846174
